"sid","category","content","description","exp","img1","img2","img3","img4","location","price1","price2","purpose1","purpose2","uid","vendorname"
13,"Catering","At Dakshin Flavours they know that every event requires the best service with ingenuity & creativity. They deliver the best of authentic, delicious and mouth-watering cuisines. They have very reasonable rates for both non-vegetarian as well as vegetarian menus and would provide any cuisine according to the demands and needs of their clients. They are a catering and planning company based out in Chennai. Cuisines Offered: North Indian South Indian Desserts","Wedding Catering",300,"https://image.wedmegood.com/resized/1000X/uploads/member/508874/1574939596_Screenshot_4.png","https://images.pexels.com/photos/2291367/pexels-photo-2291367.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","https://as1.ftcdn.net/v2/jpg/01/59/34/04/1000_F_159340494_JnZqrHrq780GF9LtxMcoTzGpwRCGRhrb.jpg","https://as2.ftcdn.net/v2/jpg/02/67/88/01/1000_F_267880108_LUj1Mxf1BeOOyaBp4G5P0qZPPSmQITQU.jpg","Kolkata",700.0,1500.0,"1 plate","1 day service",3,"Happy-WedService"
14,"decoration","We grew up reading storybooks, Dreaming of our favorite characters, Enacting our treasured chapters. "" Each event will spin a story which will be timeless like the tales from the past. The tailored tale takes care of every detail from the concept to production perfection . We help you with 1.Venue exploring 2.Creating a look book, 3.Setting mock-ups 4.2D/3D Visualing for your event","Event Management",300,"https://image.wedmegood.com/resized/1000X/uploads/member/223076/1533377314_image2310.jpg?crop=3,358,1290,725","https://c1.wallpaperflare.com/preview/48/231/812/dinner-table-event-white.jpg","https://c0.wallpaperflare.com/preview/841/129/243/celebration-ceremony-decor-decoration.jpg","https://c1.wallpaperflare.com/preview/454/484/28/table-tableware-wedding-table-set.jpg","Goa",150000.0,200000.0,"2 day event","3 day event",3,"Happy-WedService"
15,"Groomwear","SASH is a brand that provides bespoke designer fashion men's groom wear, suits, jackets, formals, casual, evening wear, accessories, customised wardrobe management and also personal shopping. Based in the city of Pune, SASH is lead by the couple Sanket and Shilpa who are passionate about what they do and love getting clients what they need for their special day! They are experts at getting groom wear ready from scratch to finish in a way that leaves the client delighted! If their profile gives you a positive vibe, be sure to give them a ring! Specialization: Sherwanis Suits and Tuxedos Indo-Western Outfits Bandhgalas Kurta Pyjama Sets Waistcoats and Nehru Jackets Groom Accessories"," Groom Wear",150,"https://image.wedmegood.com/resized/1000X/uploads/member/492953/1546921182_1546619307_1.jpg","https://www.parivarceremony.com/media/catalog/product/cache/62408a38a401bb86dbe3ed2f017b539f/m/z/mz4035m5.jpg","https://www.parivarceremony.com/media/catalog/product/cache/62408a38a401bb86dbe3ed2f017b539f/1/0/1022682.jpg","https://www.parivarceremony.com/media/catalog/product/cache/62408a38a401bb86dbe3ed2f017b539f/1/0/1022888.jpg","Mumbai",17000.0,25000.0,"1 day","2 day",4,"Traditional Wedding "
16,"Catering","The Accord ODC is a Chennai based team of experienced and passionate chefs for whom cooking is not just a job but an art. They believe that good food makes happy faces. Ever seen a person being sad while eating good food? Obviously not! They aim to give your guests an experience they'll cherish for the rfest of their lives. They ensure the quality and hygiene of the food that they cook without compromising with the taste.","Wedding Catering",100,"https://image.wedmegood.com/resized/1000X/uploads/member/37943/1489020558_1454061143_12115946_1019187238112453_7788214947882139552_n.jpg","https://as1.ftcdn.net/v2/jpg/02/23/80/22/1000_F_223802230_uYwHvFaKwfToQRo4KYaJwnNS6EKxbKqL.jpg","https://as2.ftcdn.net/v2/jpg/01/23/69/67/1000_F_123696774_uVygqz4rfSkhZTaH0KadaDE0ZMFMioPT.jpg","https://as2.ftcdn.net/v2/jpg/04/56/61/79/1000_F_456617927_FwBWtstKXIS85ot3zvaqkbIBAozVK7eM.jpg","Pune",500.0,800.0,"Veg plate","Non-veg  plate",4,"Traditional Wedding "
18,"decoration","Based in Chennai, Marriage Knot is a wedding planning service provider that guarantees that the most important day of your life is well prepared and the happiest day of your life. Weddings are the most important events in the lives of the bride and groom since they mark the beginning of a new chapter. However, arranging an Indian wedding flawlessly is no simple undertaking. Your quest for a talented and imaginative group of experienced wedding planners who can guarantee that your wedding and all of the events surrounding it will be unique can end right here.","Marriage Planning",120,"https://image.wedmegood.com/resized/1000X/uploads/member/949606/1597080241_20200803_114307.jpg?crop=6,0,1068,601","https://www.myweddingplanning.in/wp-content/uploads/thailand-beach-wedding-3.jpg","https://www.lovevivah.com/matrimony/blog/wp-content/uploads/2014/07/indian-wedding-planner.jpg","https://images.unsplash.com/photo-1595436805731-10652dcd9de8?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80","Kolkata",160000.0,250000.0,"2 day event","3 day event",4,"Traditional Wedding "
19,"Photoshoot","CamLens Photography is a wedding photography and videography company situated in Ganesh Nagar, Mumbai. Photographs have a way of informing us what is special and what should always be treasured and cherished. So, if you are a soon-to-be married couple looking for a skilled photographer, your quest ends with CamLens Photography. It is the creation of Kamlesh Parmar, an excellent photographer who catches each minute to precision.","Wedding Photographers",150,"https://www.weddingsutra.com/images/wedding-images/blog-images/yashmi-neel/yashmi-neel-img1.webp","https://images.unsplash.com/photo-1631621583126-ed10a80f62b1?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=869&q=80","https://c0.wallpaperflare.com/preview/793/430/523/india-hyderabad-people-pre-wedding.jpg","https://i.pinimg.com/736x/89/b5/37/89b53753c442ffcf7593f5ca1fe0f269.jpg","Goa",60000.0,100000.0,"package 1","package 2",4,"Traditional Wedding "
20,"Makeup","Makeup, Hair(Buns/Braids/Any Hairstyle), Draping, Lashes, Nail Polish","Nice Makeup",120,"https://www.jaihindhphotography.com/wp-content/uploads/2018/03/Makeup-Artist-In-Madurai-9.jpg","https://www.jaihindhphotography.com/wp-content/uploads/2018/03/Bridal-Wedding-Design-In-Madurai-2-3.jpg","https://image.wedmegood.com/resized-nw/700X/wp-content/uploads/2019/05/SS_FWG1259-1.jpg","https://image.wedmegood.com/resized-nw/700X/wp-content/uploads/2021/12/255481849_268219471918936_4913651595211305236.jpg","Pune",6000.0,15000.0," 1 person","3 person",4,"Traditional Wedding "
21,"Bridalwear","Neeta Lulla is an Indian Fashion Designer and Stylist based out of Mumbai,India. She has been designing wedding outfits since 1985 and became really popular after she designed clothes for the lead actresses in the movie Devdas. Also she has been awarded for designing costumes for various movies ever since her she has been a part of this industry. Hailed as the “Czarina of Indian Fashion”, Neeta Lulla is an icon in the fashion industry.","Bridal Wear",150,"https://www.teahub.io/photos/full/171-1712376_bridal-dress-hd-images-wallpaper.jpg","http://www.wallpaperg.com/uploads/upl7/1411500373-most-beautiful-dress-hd-wallpaper-file-www.wallpaperg.com.jpg","https://i.pinimg.com/originals/95/88/ab/9588abc5085592b48cf71e83168ad128.jpg","https://w0.peakpx.com/wallpaper/157/643/HD-wallpaper-mermaid-wedding-dresses-dress-white-wedding-girl.jpg","Pune",25000.0,35000.0,"1 day","2 day",4,"Traditional Wedding "
22,"Photoshoot","Movie'ing Moments is a team of young photographers and filmmakers who are passionately inclined towards storytelling in the most visually stunning way. The founder, Vaaibhav Singvi, and his passion for filmmaking, love for weddings, and joy in creating stories by freezing moments led to the establishment of this venture. This group of wedding photographers at Movie’ing Moments aim to capture the beautiful ceremonies, rituals and the culture in all its essence and rich, vibrant glory. Their insatiable desire in making marriages the most wonderful event ensure supremacy in their work across every aspect.","Wedding Photographers",175,"https://cdn0.weddingwire.in/article/9053/original/1280/jpg/3509-indian-wedding-close-up-photos-twogether-studios-by-arjun-praerna-kartha-special-moments.jpeg","https://wallpaperaccess.com/full/2008544.jpg","https://i1.adis.ws/i/canon/canon-pro-sanjay-eos-r-1-1140?$og-image$","https://cdn0.weddingwire.in/article/7268/3_2/1280/jpg/48627-indian-wedding-photos-shutterdownphotography-lead.jpeg","Mumbai",85000.0,125000.0,"1 day","2 day",5,"Perfect Wedding"
24,"Makeup","Makeup, Hair(Buns/Braids/Any Hairstyle), Draping, Lashes","Makeup",120,"https://image.wedmegood.com/resized/800X/uploads/member/581549/1558094818_WhatsApp_Image_2019_05_17_at_12.08.35_PM.jpeg","https://image.wedmegood.com/resized-nw/700X/wp-content/uploads/2019/05/1552117422_IMG_20190309_WA0015.jpg","https://images.bewakoof.com/utter/content/3957/content_tamil.jpg","https://apis.xogrp.com/media-api/images/0b621d1c-6e04-11e5-9816-22000aa61a3e","Pune",10000.0,15000.0,"2person","4 person",5,"Perfect Wedding"
25,"Bridalwear","Sanjana Thakur, the Indian designer has strong love for design and crafts. It was her dream to build a made in India label that supports our heritage craftmanship and bring forward our rich culture and traditional arts.An Architect by profession, her drive and passion for intricate hand embroidery and love for fashion led to the development of the label Sanjana Thakur.","Bridal Wear",150,"https://w0.peakpx.com/wallpaper/471/39/HD-wallpaper-models-model-girl-indian-jewelry-lipstick-necklace-saree-woman.jpg","https://i.pinimg.com/originals/12/ec/26/12ec26dac14317cfbd8be787eabf0414.jpg","https://i.pinimg.com/originals/e5/e2/9b/e5e29b3cd7e74c34ef9b8774495f75f1.jpg","https://i.pinimg.com/originals/00/bd/1f/00bd1f66c3df2aaee4ee0201381cc3f2.jpg","Kolkata",25000.0,35000.0,"1 day","2 day",5,"Perfect Wedding"
26,"Groomwear","Sandhu - The Royal Stitch is one of the most renowned men's wear designer boutiques of Amritsar serving customers since 1975. Our philosophy is to make sure you look good! Tailored to perfection, using the finest fabrics, we are a one-stop-shop for buying high-end quality outfits for all your nuptial ceremonies, from diverse styles to patterns and colours to materials. Made to measure tailoring will enable you to design and construct the perfect wedding attire for your big day that is a reflection of your ideas and character! Our designs are highly inspired from our royal heritage and are a true representation of our Indian customs and traditions.","Groom Wear",120,"https://image.wedmegood.com/resized/1000X/uploads/member/2530104/1636548188__AAA0486.jpg?crop=209,33,1620,911","https://getethnic.com/wp-content/uploads/2020/07/178856884_461462455161972_5645477045751259628_n.jpg","https://getethnic.com/wp-content/uploads/2020/07/SIA4.webp","https://getethnic.com/wp-content/uploads/2020/07/32.1.webp","Pune",25000.0,35000.0,"1 day","2 day",5,"Perfect Wedding"
27,"Catering","Established in 1992 with a view to provide a wide range of menus with a great focus on presentaion and service. They are the recognised and professional outdoor caterers and service providers and have over 20 years of experience in fulfilling the catering needs of marriages. Being associated with WMG for a period of 3 years, Hiring them can be best option ever.","Wedding Catering",300,"https://image.wedmegood.com/resized/1000X/uploads/member/21806/1489015660_1444464962_Goldline_Catering_004.jpg","https://as2.ftcdn.net/v2/jpg/04/54/10/33/1000_F_454103374_VAS8fMyeadf3yAHR7yDZ3PEYlbDtUKLx.jpg","https://as1.ftcdn.net/v2/jpg/04/10/14/22/1000_F_410142229_JZh0uBK2ZUudaK43CqWmNWkUsqGvxOu7.jpg","https://as2.ftcdn.net/v2/jpg/03/30/64/65/1000_F_330646526_Y5nPivLVPsNKFjUBLxFRHDV3t4bgmYhA.jpg","Mumbai",800.0,1600.0,"Veg meal","Non-veg meal",5,"Traditional Wedding"
28,"decoration","there is a business called Grace Events & Management that organises weddings. It provides a wide range of services to superbly plan and carry out your wedding. A wedding requires careful planning and execution because it is one of the best and most important days of a person's life and must be handled appropriately. Grace Events & Management excels in wanting to comprehend what clients want and planning everything accordingly.","Events & Management",175,"https://image.wedmegood.com/resized/1000X/uploads/member/1915791/1648233449_IMG_20220325_WA0069.jpg?crop=7,103,1136,639","https://res.cloudinary.com/shubhaarambhevent-insignia/images/w_2048,h_1152/v1645534512/allimage/Stage1234/Stage1234.jpg?_i=AA","https://res.cloudinary.com/shubhaarambhevent-insignia/images/v1645529966/1600x1217/Mandap_pf9hfz/Mandap_pf9hfz.jpg?_i=AA","https://res.cloudinary.com/shubhaarambhevent-insignia/images/v1645528397/1600x1217/Kanha_qrj07u/Kanha_qrj07u.jpg?_i=AA","Mumbai",150000.0,200000.0,"2 day event","3 day event",5,"Perfect Wedding"
